mito,geno,sex,chromo,day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
Zim,w1118,f,Df,7,3,Zim_w1118_f_Df_7__4,66,116,2.1943,15.4709,0.9782,0,0.0354
Zim,w1118,f,Df,7,3,Zim_w1118_f_Df_7__5,29,79,3.5299,4.431,0.9954,0,0.0257
Zim,w1118,f,Df,7,3,Zim_w1118_f_Df_7__6,31,81,4.02,11.0022,0.9908,0,0.0417
Zim,w1118,f,Df,7,3,Zim_w1118_f_Df_7__all,38,88,3.0108,18.2848,0.9988,0,0.0114
Zim,w1118,m,Cy,7,1,Zim_w1118_m_Cy_7__1,57,107,3.6408,-23.5192,0.9895,0,0.0404
Zim,w1118,m,Cy,7,1,Zim_w1118_m_Cy_7__2,54,104,2.2248,19.0752,0.9529,0,0.0538
Zim,w1118,m,Cy,7,1,Zim_w1118_m_Cy_7__3,16,66,2.9221,35.6357,0.9929,0,0.0265
Zim,w1118,m,Cy,7,1,Zim_w1118_m_Cy_7__4,8,58,3.0905,33.8605,0.9879,0,0.0368
Zim,w1118,m,Cy,7,1,Zim_w1118_m_Cy_7__5,51,101,2.5363,43.7692,0.967,0,0.0507
Zim,w1118,m,Cy,7,1,Zim_w1118_m_Cy_7__6,38,88,1.6072,25.1623,0.9802,0,0.0247
Zim,w1118,m,Cy,7,1,Zim_w1118_m_Cy_7__all,52,102,2.3453,32.4741,0.9949,0,0.0181
Zim,w1118,m,Cy,7,2,Zim_w1118_m_Cy_7__1,6,56,1.8708,50.8702,0.9557,0,0.0438
Zim,w1118,m,Cy,7,2,Zim_w1118_m_Cy_7__2,42,92,2.1624,49.0996,0.973,0,0.039
Zim,w1118,m,Cy,7,2,Zim_w1118_m_Cy_7__3,17,67,2.2906,39.647,0.9898,0,0.0251
Zim,w1118,m,Cy,7,2,Zim_w1118_m_Cy_7__4,27,77,2.7771,36.9154,0.9818,0,0.0408
Zim,w1118,m,Cy,7,2,Zim_w1118_m_Cy_7__5,20,70,2.5493,30.5554,0.9911,0,0.026
Zim,w1118,m,Cy,7,2,Zim_w1118_m_Cy_7__6,59,109,2.1827,17.3151,0.984,0,0.0301
Zim,w1118,m,Cy,7,2,Zim_w1118_m_Cy_7__all,20,70,2.3227,36.241,0.9943,0,0.0189
Zim,w1118,m,Cy,7,3,Zim_w1118_m_Cy_7__1,57,107,2.7076,0.5006,0.9722,0,0.0496
Zim,w1118,m,Cy,7,3,Zim_w1118_m_Cy_7__2,83,133,3.0997,7.1132,0.9561,0,0.0722
Zim,w1118,m,Cy,7,3,Zim_w1118_m_Cy_7__3,79,129,2.2133,6.7435,0.9544,0,0.0526
Zim,w1118,m,Cy,7,3,Zim_w1118_m_Cy_7__4,57,107,3.7463,-12.841,0.9912,0,0.0381
Zim,w1118,m,Cy,7,3,Zim_w1118_m_Cy_7__5,18,68,2.9988,28.7765,0.9948,0,0.0233
Zim,w1118,m,Cy,7,3,Zim_w1118_m_Cy_7__6,41,91,2.7288,-6.3511,0.9871,0,0.0336
Zim,w1118,m,Cy,7,3,Zim_w1118_m_Cy_7__all,52,102,2.2423,33.9352,0.9966,0,0.0141
