fly,X,Y,mito,nuc,sex
1,448,0.069683258,zim,w1118,m
2,91,0.177375566,zim,w1118,m
3,442,0.219909502,zim,w1118,m
4,170,0.136651584,zim,w1118,m
5,191,0.216289593,zim,w1118,m
6,192,-0.054298643,zim,w1118,m
7,333,0.208144796,zim,w1118,m
8,468,0.734841629,zim,w1118,m
9,425,0.386425339,zim,w1118,m
10,435,0.649773756,zim,w1118,m
11,395,0.821719457,zim,w1118,m
12,455,0.590950226,zim,w1118,m
13,316,0.325791855,zim,w1118,m
14,177,0.829864253,zim,w1118,m
15,286,0.283257919,zim,w1118,m
16,272,0.730316742,zim,w1118,m
17,314,0.668778281,zim,w1118,m
18,21,-0.064253394,zim,w1118,m
19,117,0.274208145,zim,w1118,m
20,451,0.745701357,zim,w1118,m
21,371,0.767420814,zim,w1118,m
22,393,0.836199095,zim,w1118,m
23,440,0.973755656,zim,w1118,m
24,232,0.593665158,zim,w1118,m
25,272,0.613574661,zim,w1118,m
26,276,0.774660633,zim,w1118,m
27,289,0.791855204,zim,w1118,m
28,83,0.844343891,zim,w1118,m
29,430,0.756561086,zim,w1118,m
30,362,0.816289593,zim,w1118,m
31,173,0.868778281,zim,w1118,m
32,348,0.908597285,zim,w1118,m
33,275,0.932126697,zim,w1118,m
34,440,0.747511312,zim,w1118,m
35,258,0.763800905,zim,w1118,m
36,121,0.857918552,zim,w1118,m
37,334,0.873303167,zim,w1118,m
38,309,0.409049774,zim,w1118,m
39,320,0.788235294,zim,w1118,m
40,53,0.815384615,zim,w1118,m
41,421,0.63800905,zim,w1118,m
42,343,0.780090498,zim,w1118,m
43,142,0.807239819,zim,w1118,m
44,373,0.827149321,zim,w1118,m
45,288,0.936651584,zim,w1118,m
46,279,0.516742081,zim,w1118,m
47,288,0.56199095,zim,w1118,m
48,272,0.622624434,zim,w1118,m
49,278,0.684162896,zim,w1118,m
50,302,0.767420814,zim,w1118,m
51,251,0.778280543,zim,w1118,m
52,378,0.801809955,zim,w1118,m
53,155,0.858823529,zim,w1118,m
54,241,0.866968326,zim,w1118,m
55,367,0.94841629,zim,w1118,m
56,160,0.718552036,zim,w1118,m
57,275,0.737556561,zim,w1118,m
58,319,0.914932127,zim,w1118,m
59,235,0.752036199,zim,w1118,m
60,410,0.790045249,zim,w1118,m
61,436,0.866968326,zim,w1118,m
62,300,0.48959276,zim,w1118,m
63,261,0.671493213,zim,w1118,m
64,433,0.761085973,zim,w1118,m
65,250,0.809954751,zim,w1118,m
66,317,0.843438914,zim,w1118,m
67,72,0.936651584,zim,w1118,m
68,236,0.531221719,zim,w1118,m
69,379,0.746606335,zim,w1118,m
70,277,0.909502262,zim,w1118,m
71,319,0.528506787,zim,w1118,m
72,307,0.807239819,zim,w1118,m
73,310,0.829864253,zim,w1118,m
74,95,0.295022624,zim,w1118,m
75,302,0.376470588,zim,w1118,m
76,153,0.48959276,zim,w1118,m
77,281,0.688687783,zim,w1118,m
78,225,0.721266968,zim,w1118,m
79,248,0.76561086,zim,w1118,m
80,287,0.780090498,zim,w1118,m
81,247,0.799095023,zim,w1118,m
82,164,0.911312217,zim,w1118,m
83,393,0.681447964,zim,w1118,m
84,276,0.790045249,zim,w1118,m
85,232,0.57918552,zim,w1118,m
86,166,0.624434389,zim,w1118,m
87,261,0.653393665,zim,w1118,m
88,215,0.857013575,zim,w1118,m
89,271,0.735746606,zim,w1118,m
90,357,0.805429864,zim,w1118,m
91,306,0.619004525,zim,w1118,m
92,133,0.740271493,zim,w1118,m
93,210,0.4760181,zim,w1118,m
94,316,0.697737557,zim,w1118,m
95,80,0.819909502,zim,w1118,m
96,355,0.892307692,zim,w1118,m
97,205,0.626244344,zim,w1118,m
98,126,0.636199095,zim,w1118,m
99,217,0.652488688,zim,w1118,m
100,384,0.786425339,zim,w1118,m
101,255,0.688687783,zim,w1118,m
102,381,0.717647059,zim,w1118,m
103,189,0.676923077,zim,w1118,m
104,338,0.789140271,zim,w1118,m
105,291,0.850678733,zim,w1118,m
106,378,0.886877828,zim,w1118,m
107,185,0.690497738,zim,w1118,m
108,246,0.714932127,zim,w1118,m
109,98,0.569230769,zim,w1118,m
110,275,0.83800905,zim,w1118,m
111,190,0.663348416,zim,w1118,m
112,260,0.810859729,zim,w1118,m
